Id,Text
"1313","фактически его нету! в убунте палитика другая поэтому рутом его назвать тяжело! реальное понятие рут идёт от юникса. больше читай, чувак!:))"
"39233","Спасибо за ответ @dzhioev"
"39241","Спасибо за ответ @Kozlov Sergei"
"39256","Огромное спасибо за ответ @Евгений Серебров"
"56270","Не создавайте новых вопрос - не засоряйте форум.

По прошлому вопросу - Дайте описание TBasicShape."
"84552","Ув. @ZoZexZero, вы слышали про такие замечательные поисковые ресурсы, как Google, Yandex? Они содержат гораздо больше ответов на подобные вопросы, чем может предложить аудитория ХэшКода."
"112400","@Андрей2, Чтобы отформатировать код, выделите его мышью и нажмите на кнопку 101010 редактора."
"135595","спасибо, большое =)"
"184452","Pascal это же просто и ясно: вместо скобок `begin-end` ну и присвоение `:=`. В оконцове найди дельфиста (их тут пруд-пруди)."
"187458","@wwvv глупый вопрос, говорите? Вы бы тут вопросы по php и JavaScript почитали бы, вот там действительно глупые))"
"189322","@Lucky - абсолютно то что я хочу сказать. +1"
"189877","@heavy_metal_fan, минус можете аргументировать?"
"197101","суперответ! зачот!"
"197817","Спасибо большое!"
"228811","Повтор вопроса  
https://ru.stackoverflow.com/questions/215279/%D0%A1%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%BB%D0%BE%D0%B2-%D0%BD%D0%B0-php
Там кстати можно найти мою попытку упростить читабельность большого текста в котором надо склонить слова при помощи шаблонов."
"270755","Dimonolog спросите у Тихонова"
"276090","понятно, спасибо большое."
"295120","Решение на стороне сервера есть, спасибо за него Роману Жукову."
"295122","спасибо большое! то, что нужно было изначально!"
"295123","Решение на стороне клиента найдено! Спасибо за него Ridzhi! )"
"341337","Пример был протестирован на PHP 5.2.13, на Denwer'е."
"341338","Спасибо!!!"
"372555","@Vladislav  Romarov, Если вам дан исчерпывающий ответ, отметьте его как верный (нажмите на галку рядом с выбранным ответом)."
"372557","Да я над ответом думал ))))). Нашел в справочнике описание как раз подходящее)). Что ж, буду пробовать..."
"372558","Спасибо! Это как раз то, что я искал. Просто хотел обойтись без MVC, т.к. приложение достаточно простое...Видимо, не получится."
"372576","Что-то не понимаю, как мне получить доступ к этому полю и откуда.
Вот, объявил я GridPane с fx:id = ""grid1""
Как к нему теперь получить доступ ?"
"372581","Обновил ответ"
"377021","@dzukp, сделайте ответом. Я приму! Не находил еще подобной информации!"
"380698","халява это бич всех славян )"
"386838","спасибо большое."
"393833","@Seth, Если вам дан исчерпывающий ответ, отметьте его как верный (нажмите на галку рядом с выбранным ответом)."
"422674","Жаль 2-х очков репутации не хватает что бы отметить ответ, как только дойду до 15-ти, обязательно отмечу, Спасибо большое!"
"422676","@pojurgy: А так?"
"422677","Спасибо! теперь могу :)"
"422683","Ответ надо галочкой помечать. Я полагаю, что для этого нет репутационных барьеров."
"422832","еле нашел её :)"
"491277","Немного переформулировал заголовок, надеюсь что вы не против."
"492929","нужно уточнить, нужна фактическая высота, или то, что прописано в стилях? В стилях может быть прописано не только в `px`"
"509207","СПАСИБО, Можете подсказать как сделать чтобы все добавленные блоки удалялись а не только последний"
"509297","Не за что :) смотрите исправление."
"516363","Спасибо, помогло! Не знал."
"570167","Жмакнул второпях на минус, хотел на плюс. Не дает изменить."
"584326","Я там отклонил вашу тревогу, но похоже что комментарий мой не сохранился, так что продублирую. Речь об этом: http://ru.stackoverflow.com/users/flag-summary/179846?group=1&status=3 Если на вопрос нет адекватного ответа, то вы можете объяснить автору, как его улучшить, и/или проголосовать за закрытие. Модератор ничем не поможет в такой ситуации."
"586975","Если вам дан исчерпывающий ответ, отметьте его как верный (галка напротив выбранного ответа)."
"601461","Это только для вконтакте, а используются так же и другие соц сети"
"605610","pip в анаконде да. а без  анаконды на питоне я мучался с установкой библиотек"
